company_id,start_year,name,output_salse,output_profit,input_employee,input_capital,input_assets,years_from_org,prefecture_others,prefecture_兵庫県,prefecture_大阪府,prefecture_愛知県,prefecture_東京都,prefecture_神奈川県
1010001126172,2023,株式会社イエローハット,481704000000.0,37640000000.0,152.2,15072000000.0,89628400000.0,,0,0,0,0,1,0
1010001128887,2023,エコナビスタ株式会社,4176194000.0,962974000.0,27.4,675652000.0,1605760200.0,,0,0,0,0,1,0
1010001143952,2023,株式会社リンクバル,4695351000.0,-1076481000.0,69.0,188600000.0,1458043600.0,12.0,0,0,0,0,1,0
1010001146146,2023,三井住友トラスト・パナソニックファイナンス株式会社,1382541000000.0,32828000000.0,929.2,25584000000.0,182388400000.0,56.0,0,0,0,0,1,0
1010001160048,2023,SREホールディングス株式会社,60163685000.0,2992301000.0,111.6,3909285600.0,8732016600.0,,0,0,0,0,1,0
1010001168883,2023,株式会社Ｗ　ＴＯＫＹＯ,14679699000.0,481390000.0,45.0,145582800.0,834286200.0,8.0,0,0,0,0,1,0
1010001170889,2023,株式会社グローバルキッズCOMPANY,3495000000.0,1344000000.0,16.5,1294600000.0,5130400000.0,,0,0,0,0,1,0
1010001173009,2023,株式会社ジーデップ・アドバンス,15818807000.0,1361031000.0,19.6,81025000.0,1361030200.0,7.0,1,0,0,0,0,0
1010001185037,2023,株式会社雪国まいたけ,124288000000.0,11183000000.0,1010.5,103800000.0,23973400000.0,,1,0,0,0,0,0
1010001193056,2023,株式会社ネットプロテクションズホールディングス,1809000000.0,43000000.0,9.0,2508400000.0,13307000000.0,,0,0,0,0,1,0
1010401004837,2023,ＮＯＫ株式会社,1116056000000.0,96753000000.0,3490.0,23335000000.0,256130400000.0,,0,0,0,0,1,0
1010401006049,2023,オイレス工業株式会社,190186000000.0,20132000000.0,790.8,8585000000.0,48854600000.0,,0,0,0,0,0,1
1010401007286,2023,川岸工業株式会社,114399000000.0,5817000000.0,320.4,955000000.0,25969200000.0,,0,0,0,0,1,0
1010401009745,2023,株式会社小糸製作所,1602261000000.0,154698000000.0,4379.6,14270000000.0,372432200000.0,87.0,0,0,0,0,1,0
1010401010455,2023,株式会社小松製作所,4631605000000.0,577032000000.0,11981.4,71777200000.0,862281400000.0,102.0,0,0,0,0,1,0
1010401011081,2023,酒井重工業株式会社,102575665000.0,2858610000.0,302.4,3261016600.0,18059149000.0,,0,0,0,0,1,0
1010401012096,2023,三信電気株式会社,471440000000.0,9634000000.0,421.2,14811000000.0,23755600000.0,72.0,0,0,0,0,1,0
1010401013565,2023,清水建設株式会社,7090175000000.0,260830000000.0,10672.0,74365000000.0,691160600000.0,86.0,0,0,0,0,1,0
1010401015149,2023,"
スペースシャワーSKIYAKIホールディングス株式会社
（注）2024年１月26日開催臨時株主総会決議により、2024年４月１日より会社名を株式会社スペースシャワーネットワークから上記に変更しております。
",51541574000.0,152591000.0,169.2,828231600.0,3012413600.0,,0,0,0,0,1,0
1010401015438,2023,世紀東急工業株式会社,411424000000.0,17127000000.0,921.0,2000000000.0,36475400000.0,73.0,0,0,0,0,1,0
1010401021428,2023,西川計測株式会社,159943002000.0,8110667000.0,407.2,569375000.0,14282490800.0,72.0,0,0,0,0,1,0
1010401022715,2023,株式会社日本色材工業研究所,42309630000.0,-676903000.0,351.2,468462400.0,2829747600.0,,0,0,0,0,1,0
1010401028415,2023,丸紅建材リース株式会社,92161000000.0,4433000000.0,209.0,2651000000.0,12075200000.0,,0,0,0,0,1,0
1010401029660,2023,森永製菓株式会社,824289000000.0,62183000000.0,1456.4,18612000000.0,104512600000.0,,0,0,0,0,1,0
1010401029826,2023,株式会社ヤナセ,1901435000000.0,53171000000.0,3673.0,6975000000.0,63629000000.0,,0,0,0,0,1,0
1010401033225,2023,株式会社極洋,1220520000000.0,17153000000.0,691.2,6036600000.0,33503000000.0,,0,0,0,0,1,0
1010401042424,2023,アルコニックス株式会社,383472000000.0,15870000000.0,181.6,4684400000.0,22576400000.0,42.0,0,0,0,0,1,0
1010401048826,2023,株式会社ほぼ日,31209881000.0,1365708000.0,121.6,350173400.0,4020642800.0,,0,0,0,0,1,0
1010401051219,2023,株式会社ＦＲＯＮＴＥＯ,24495017000.0,-5555295000.0,183.6,2933712200.0,7194494000.0,20.0,0,0,0,0,1,0
1010401052489,2023,ヴィスコ・テクノロジーズ株式会社,14338762000.0,923392000.0,104.0,492375600.0,2374471800.0,,0,0,0,0,1,0
1010401052638,2023,株式会社シャノン,12173397000.0,-746406000.0,221.4,488758000.0,338881400.0,23.0,0,0,0,0,1,0
1010401053173,2023,ロジザード株式会社,8794504000.0,1073167000.0,100.4,301220000.0,1543105200.0,,0,0,0,0,1,0
1010401055616,2023,株式会社バリューゴルフ,5436090000.0,227775000.0,37.8,380893000.0,884987200.0,,0,0,0,0,1,0
1010401057595,2023,株式会社アイスタイル,36274000000.0,-4572000000.0,471.8,4880200000.0,6736800000.0,,0,0,0,0,1,0
1010401063016,2023,エムスリー株式会社,238660000000.0,150433000000.0,567.6,29119600000.0,160648400000.0,23.0,0,0,0,0,1,0
1010401069161,2023,株式会社ツムラ,604181000000.0,70413000000.0,2599.2,30142000000.0,218084600000.0,,0,0,0,0,1,0
1010401075845,2023,株式会社三陽商会,261023000000.0,-1965000000.0,1317.4,15002000000.0,36555200000.0,,0,0,0,0,1,0
1010401084788,2023,株式会社ＦＩＸＥＲ,35443000000.0,3371000000.0,212.0,875000000.0,3608400000.0,15.0,0,0,0,0,1,0
1010401088566,2023,株式会社オーハシテクニカ,96575016000.0,5043835000.0,152.2,1825671000.0,21429982200.0,,0,0,0,0,1,0
1010401091628,2023,株式会社LIFULL,116124000000.0,-4538000000.0,705.4,9716000000.0,26814000000.0,26.0,0,0,0,0,1,0
1010501004662,2023,株式会社三栄コーポレーション,94907721000.0,-309486000.0,108.0,1000914000.0,7926596800.0,73.0,0,0,0,0,1,0
1010501016022,2023,クミアイ化学工業株式会社,486438000000.0,41603000000.0,763.0,4534000000.0,93674800000.0,74.0,0,0,0,0,1,0
1010601021483,2023,日本電技株式会社,168692000000.0,17431000000.0,831.0,470000000.0,29011000000.0,64.0,0,0,0,0,1,0
1010701003241,2023,高周波熱錬株式会社,164876000000.0,5169000000.0,908.8,6418000000.0,47420000000.0,,0,0,0,0,1,0
1010701008133,2023,浜井産業株式会社,33387861000.0,2592617000.0,98.4,522637200.0,2115420800.0,,0,0,0,0,1,0
1010701008364,2023,平河ヒューテック株式会社,52457000000.0,3941000000.0,343.8,1555000000.0,15097400000.0,,0,0,0,0,1,0
1010701008901,2023,株式会社フォーカスシステムズ,133101982000.0,5819124000.0,1270.2,2905422000.0,12188923400.0,46.0,0,0,0,0,1,0
1010701021061,2023,株式会社ランドコンピュータ,50085836000.0,3557119000.0,497.0,459124600.0,4537360200.0,52.0,0,0,0,0,1,0
1010801004073,2023,ソレキア株式会社,117528140000.0,3622994000.0,759.6,2293007000.0,8496676800.0,65.0,0,0,0,0,1,0
1010801009097,2023,日本プリメックス株式会社,30766776000.0,1878412000.0,59.4,393997000.0,6378347400.0,,0,0,0,0,1,0
1010901002423,2023,岡谷電機産業株式会社,59613449000.0,442407000.0,180.6,2295169000.0,5808144600.0,,0,0,0,0,1,0
1010901026918,2023,株式会社セック,35453623000.0,4179989000.0,319.4,477300000.0,7183852400.0,53.0,0,0,0,0,1,0
1010901029020,2023,リンカーズ株式会社,7056882000.0,425762000.0,75.2,156480600.0,1523627400.0,12.0,0,0,0,0,1,0
1010901034004,2023,株式会社Rebase,4384857000.0,633361000.0,26.2,116721400.0,516183800.0,,0,0,0,0,1,0
1011001017717,2023,ＮＳＷ株式会社,207323000000.0,16888000000.0,1848.6,5500000000.0,26374600000.0,57.0,0,0,0,0,1,0
1011001017865,2023,日本電波工業株式会社,194631000000.0,3180000000.0,679.2,6606600000.0,12723200000.0,75.0,0,0,0,0,1,0
1011001017948,2023,"
株式会社NEXYZ.Group
（注）2024年１月１日付で、株式会社ネクシィーズグループから
株式会社NEXYZ.Groupへ変更しております。
",51316000000.0,799000000.0,38.6,759400000.0,3468800000.0,,0,0,0,0,1,0
1011001025967,2023,日油株式会社,688953000000.0,127607000000.0,1736.6,17742000000.0,175781200000.0,74.0,0,0,0,0,1,0
1011001028441,2023,株式会社ユナイテッドアローズ,580932000000.0,5580000000.0,3888.6,3030000000.0,33233200000.0,,0,0,0,0,1,0
1011001035512,2023,株式会社MIXI,548354000000.0,50580000000.0,1077.0,9698000000.0,182526000000.0,,0,0,0,0,1,0
1011001036766,2023,株式会社メディカルネット,8162929000.0,751094000.0,103.0,286034000.0,1552432800.0,,0,0,0,0,1,0
1011001041171,2023,株式会社ライトアップ,11701542000.0,1536637000.0,107.0,386381000.0,2263018400.0,21.0,0,0,0,0,1,0
1011001043721,2023,株式会社エスエルディー,16352899000.0,-785711000.0,154.4,113651200.0,236578200.0,,0,0,0,0,1,0
1011001044042,2023,株式会社サニーサイドアップグループ,5526140000.0,1063025000.0,35.2,548321400.0,2008779200.0,,0,0,0,0,1,0
1011001047318,2023,イー・ギャランティ株式会社,40283925000.0,12884125000.0,165.6,3180937400.0,17784955400.0,,0,0,0,0,1,0
1011001062515,2023,株式会社エム・エイチ・グループ,2473748000.0,-331244000.0,18.6,453344000.0,416777400.0,,0,0,0,0,1,0
1011001064255,2023,株式会社ギガプライズ,82825467000.0,6561291000.0,157.8,195310000.0,5496603800.0,,0,0,0,0,1,0
1011001069980,2023,ぴあ株式会社,323542000000.0,-5715000000.0,307.2,5639200000.0,4073800000.0,49.0,0,0,0,0,1,0
1011001070286,2023,パス株式会社,461766000.0,-2624627000.0,6.4,630920400.0,852612600.0,,0,0,0,0,1,0
1011101003369,2023,株式会社ＦＪネクストホールディングス,257873000000.0,22019000000.0,154.6,2774000000.0,52294400000.0,,0,0,0,0,1,0
1011101008616,2023,ＪＥＳＣＯホールディングス株式会社,4954227000.0,2249188000.0,24.0,1008017200.0,3868071200.0,,0,0,0,0,1,0
1011101016668,2023,日本ハウズイング株式会社,473566000000.0,17211000000.0,2104.8,2492000000.0,34472200000.0,57.0,0,0,0,0,1,0
1011101029018,2023,エン・ジャパン株式会社,190921000000.0,22447000000.0,1691.4,1194000000.0,36485600000.0,23.0,0,0,0,0,1,0
1011101032087,2023,株式会社セラク,83137896000.0,5393692000.0,2975.4,305313200.0,5557266600.0,36.0,0,0,0,0,1,0
1011101035809,2023,ルーデン・ホールディングス株式会社,2467509000.0,-315894000.0,3.2,1987479200.0,2477604400.0,,0,0,0,0,1,0
1011101036179,2023,三井住建道路株式会社,157691000000.0,4177000000.0,439.0,1329000000.0,12734000000.0,75.0,0,0,0,0,1,0
1011101046616,2023,株式会社ＮＳＤ,325918000000.0,41731000000.0,3095.8,7205000000.0,51441200000.0,54.0,0,0,0,0,1,0
1011101049890,2023,株式会社エックスネット,26035071000.0,3246285000.0,193.2,783200000.0,7586234800.0,32.0,0,0,0,0,1,0
1011101050080,2023,株式会社バンク・オブ・イノベーション,39665000000.0,2734000000.0,159.2,532800000.0,2256200000.0,,0,0,0,0,1,0
1011101050337,2023,株式会社ドリコム,45726554000.0,3755677000.0,265.0,1788631600.0,3867524000.0,,0,0,0,0,1,0
1011101054073,2023,株式会社サーバーワークス,64692839000.0,2574463000.0,190.6,2703999600.0,8333248600.0,23.0,0,0,0,0,1,0
1011201019356,2023,フォースタートアップス株式会社,11276965000.0,1407143000.0,125.2,215544000.0,1401302800.0,7.0,0,0,0,0,1,0
1011301004381,2023,株式会社チヨダ,383740000000.0,-7270000000.0,1293.8,6893000000.0,53472600000.0,,0,0,0,0,1,0
1011401006542,2023,株式会社山本製作所,43348339000.0,-4562680000.0,419.2,365000000.0,8942218800.0,,0,0,0,0,1,0
1011401007292,2023,藤倉化成株式会社,88746201000.0,5232126000.0,436.0,5352121000.0,24357480000.0,,0,0,0,0,1,0
1011401011162,2023,日本金属株式会社,193559000000.0,2041000000.0,584.2,6857000000.0,18325200000.0,,0,0,0,0,1,0
1011501003539,2023,日本特殊塗料株式会社,211344000000.0,10857000000.0,617.6,4753000000.0,33117000000.0,87.0,0,0,0,0,1,0
